latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
26.93373,86.13222,302.65,0.48,0.4,2025-03-02,1944,N,VIIRS,n,2.0NRT,291.11,1,N
27.53501,84.24789,345.21,0.52,0.5,2025-03-03,0658,N,VIIRS,n,2.0NRT,301.51,14.24,D
26.63152,87.3295,336.79,0.54,0.42,2025-03-03,0658,N,VIIRS,n,2.0NRT,304.31,3.63,D
26.65859,86.62459,332.9,0.4,0.44,2025-03-03,0658,N,VIIRS,n,2.0NRT,303.93,2.61,D
26.70892,86.19276,334.92,0.42,0.45,2025-03-03,0658,N,VIIRS,n,2.0NRT,307.25,3.06,D
27.1859,87.22572,334.37,0.54,0.42,2025-03-03,0658,N,VIIRS,n,2.0NRT,300.38,6.51,D
27.47394,85.18869,330.51,0.46,0.47,2025-03-03,0658,N,VIIRS,n,2.0NRT,295.76,2.57,D
27.55999,84.47752,341.56,0.5,0.49,2025-03-03,0658,N,VIIRS,n,2.0NRT,304.61,16.93,D
27.55894,84.47245,333.79,0.5,0.49,2025-03-03,0658,N,VIIRS,n,2.0NRT,300.1,16.93,D
27.53189,84.25163,327.75,0.52,0.5,2025-03-03,0658,N,VIIRS,n,2.0NRT,301.84,10.63,D
27.53079,84.24636,342.64,0.52,0.5,2025-03-03,0658,N,VIIRS,n,2.0NRT,303.87,17.63,D
27.56008,84.47439,348.84,0.5,0.49,2025-03-03,0658,N,VIIRS,n,2.0NRT,306.02,33.56,D
27.53049,84.24911,342.29,0.52,0.5,2025-03-03,0658,N,VIIRS,n,2.0NRT,304.71,14.24,D
28.79664,80.17551,367,0.42,0.61,2025-03-03,0701,N,VIIRS,h,2.0NRT,301.75,7.47,D
27.81667,82.64429,328.53,0.32,0.54,2025-03-03,0701,N,VIIRS,l,2.0NRT,303.5,3.1,D
27.82091,82.64472,335.53,0.32,0.54,2025-03-03,0701,N,VIIRS,n,2.0NRT,303.48,3.02,D
27.93499,82.36168,335.64,0.33,0.55,2025-03-03,0701,N,VIIRS,n,2.0NRT,301.36,2.47,D
28.41008,81.05688,327.32,0.38,0.59,2025-03-03,0701,N,VIIRS,n,2.0NRT,299.09,1.45,D
28.78925,82.09744,339.21,0.33,0.55,2025-03-03,0701,N,VIIRS,n,2.0NRT,299.94,3.47,D
28.79238,82.09801,338.22,0.33,0.55,2025-03-03,0701,N,VIIRS,n,2.0NRT,297.15,3.07,D
28.79457,80.17557,333.89,0.42,0.61,2025-03-03,0701,N,VIIRS,n,2.0NRT,299.47,3.45,D
28.80218,80.17377,367,0.42,0.61,2025-03-03,0701,N,VIIRS,h,2.0NRT,301.34,9.03,D
28.7855,80.13924,348.04,0.59,0.7,2025-03-03,0839,N,VIIRS,n,2.0NRT,298.49,8.13,D
29.89111,81.88416,325.52,0.77,0.77,2025-03-03,0839,N,VIIRS,n,2.0NRT,288.18,6.13,D
27.54196,84.22311,302.46,0.39,0.59,2025-03-03,1923,N,VIIRS,n,2.0NRT,285.69,0.68,N
28.04684,83.85148,300.2,0.42,0.61,2025-03-03,1923,N,VIIRS,n,2.0NRT,284.74,0.68,N
27.35975,86.81458,303.39,0.54,0.51,2025-03-03,1923,N,VIIRS,n,2.0NRT,282.05,0.7,N
27.5472,84.22018,301.92,0.39,0.6,2025-03-03,1923,N,VIIRS,n,2.0NRT,285.8,0.7,N
27.54688,84.22424,306.88,0.39,0.59,2025-03-03,1923,N,VIIRS,n,2.0NRT,285.27,0.7,N
27.54166,84.21957,297.03,0.39,0.6,2025-03-03,1923,N,VIIRS,n,2.0NRT,285.83,0.65,N
27.54749,84.22369,304.99,0.39,0.59,2025-03-03,1923,N,VIIRS,n,2.0NRT,285.31,0.68,N
27.54229,84.21904,297.36,0.39,0.59,2025-03-03,1923,N,VIIRS,n,2.0NRT,285.45,0.68,N
27.09903,87.50626,303.88,0.49,0.48,2025-03-03,1923,N,VIIRS,n,2.0NRT,284.84,0.84,N
27.54224,84.22353,307.49,0.65,0.73,2025-03-03,2103,N,VIIRS,n,2.0NRT,285.12,1.09,N
27.54584,84.22537,310,0.66,0.73,2025-03-03,2103,N,VIIRS,n,2.0NRT,285.21,2.07,N
26.65934,87.91206,328.42,0.63,0.54,2025-03-04,0639,N,VIIRS,n,2.0NRT,297.04,2.6,D
26.71202,88.10181,332.46,0.61,0.54,2025-03-04,0639,N,VIIRS,n,2.0NRT,298.49,5.38,D
26.96386,87.52411,336.76,0.33,0.55,2025-03-04,0639,N,VIIRS,n,2.0NRT,300.39,4.37,D
27.15878,87.02687,343.11,0.35,0.57,2025-03-04,0639,N,VIIRS,n,2.0NRT,296.88,3.9,D
26.99788,85.9167,330.16,0.41,0.6,2025-03-04,0639,N,VIIRS,n,2.0NRT,299.98,2.52,D
27.03555,85.73777,328.01,0.42,0.61,2025-03-04,0639,N,VIIRS,n,2.0NRT,296.27,2.3,D
27.06912,85.65559,340.61,0.42,0.61,2025-03-04,0639,N,VIIRS,n,2.0NRT,297.99,4.77,D
27.56556,84.49403,328.7,0.48,0.65,2025-03-04,0639,N,VIIRS,n,2.0NRT,296.91,2.48,D
27.54018,84.23133,367,0.5,0.66,2025-03-04,0639,N,VIIRS,h,2.0NRT,299.05,9.96,D
27.53891,84.22632,338.39,0.5,0.66,2025-03-04,0639,N,VIIRS,n,2.0NRT,297.01,9.96,D
