latitude,longitude,acq_date,fire_occurred
27.6798,83.1648,2019-06-21 00:00:00,0
27.9137,81.5186,2013-09-01 00:00:00,0
28.3105,86.0867,2021-06-20 00:00:00,0
29.8464,84.0844,2023-05-28 00:00:00,0
30.4344,83.1401,2019-11-21 00:00:00,0
26.5355,87.7824,2024-01-24 00:00:00,0
29.01534,80.31653,2014-05-20,1
28.80565,81.74742,2021-04-07,1
28.3897,86.0743,2015-12-01 00:00:00,0
27.5096,88.5061,2015-02-22 00:00:00,0
27.4892,89.4393,2022-03-25 00:00:00,0
28.74683,80.48336,2016-04-10,1
27.74063,82.83342,2021-04-02,1
29.1886,86.4211,2015-08-11 00:00:00,0
27.54664,84.28835,2025-04-23,1
26.398,84.5803,2022-07-24 00:00:00,0
28.17371,82.90394,2024-04-23,1
28.14362,84.46494,2023-05-12,1
28.35132,84.48027,2025-01-22,1
28.6412,88.35,2021-09-21 00:00:00,0
30.0694,82.1783,2014-11-10 00:00:00,0
29.9959,80.9986,2020-11-22 00:00:00,0
27.95453,82.18728,2022-04-26,1
28.16698,82.03125,2016-04-11,1
27.1226,86.3009,2024-08-01 00:00:00,0
26.7878,85.6376,2022-10-14 00:00:00,0
28.58067,81.07276,2025-05-29,1
27.23314,85.1787,2021-03-27,1
28.69855,82.80764,2014-03-28,1
29.984,81.6604,2015-01-28 00:00:00,0
29.3807,80.6131,2013-11-16 00:00:00,0
30.4906,82.6812,2014-09-15 00:00:00,0
28.40615,81.62539,2022-04-26,1
29.10115,80.55956,2019-05-09,1
27.0339,85.5389,2013-01-19 00:00:00,0
30.0355,86.4237,2016-07-18 00:00:00,0
28.635,84.0303,2023-02-18 00:00:00,0
28.79876,81.31603,2019-05-11,1
30.1529,83.3061,2023-12-09 00:00:00,0
29.84983,80.76093,2025-01-13,1
27.02355,86.03863,2019-03-22,1
29.48961,81.43545,2021-05-16,1
28.17361,83.55904,2024-04-29,1
28.61169,81.32862,2019-05-10,1
29.2001,87.2992,2019-04-23 00:00:00,0
27.651,88.6612,2021-10-12 00:00:00,0
27.4879,80.2115,2020-06-26 00:00:00,0
29.7198,80.369,2021-04-17 00:00:00,0
28.29811,81.70007,2024-04-09,1
29.7668,84.8706,2022-12-07 00:00:00,0
28.80998,80.21906,2021-02-08,1
29.0493,81.01506,2021-04-09,1
29.7897,83.507,2018-03-31 00:00:00,0
28.33838,81.90531,2025-04-06,1
28.45139,81.8568,2023-05-20,1
29.7819,87.2709,2019-09-11 00:00:00,0
28.145,84.4096,2018-11-06 00:00:00,0
29.65978,81.09633,2022-12-23,1
27.3614,86.27392,2021-03-22,1
28.6977,81.8878,2017-07-01 00:00:00,0
28.75624,81.18448,2018-03-17,1
28.41932,81.7621,2019-05-08,1
29.3791,80.58864,2022-06-06,1
29.3663,83.3544,2019-12-19 00:00:00,0
28.8822,82.2854,2021-05-05 00:00:00,0
29.06721,82.54682,2024-02-11,1
28.4183,84.1196,2018-09-11 00:00:00,0
28.2913,81.8369,2020-07-21 00:00:00,0
28.19184,82.96147,2021-04-03,1
26.4839,84.9857,2018-05-01 00:00:00,0
28.38249,83.1409,2025-03-31,1
27.7868,83.4919,2017-01-22 00:00:00,0
28.40166,81.09805,2023-11-12,1
29.7995,84.5415,2018-02-11 00:00:00,0
27.19846,84.70007,2025-04-12,1
26.4941,80.8826,2023-04-03 00:00:00,0
27.5883,86.1535,2020-06-25 00:00:00,0
28.0701,82.03641,2023-04-18,1
28.4956,82.6171,2015-12-24 00:00:00,0
30.1265,84.933,2022-05-14 00:00:00,0
28.7774,81.44,2018-04-24,1
27.9086,82.45648,2021-03-11,1
29.0702,88.5455,2013-09-01 00:00:00,0
29.11341,81.14184,2024-04-07,1
28.69711,81.71082,2014-05-19,1
27.75,84.5518,2013-03-10 00:00:00,0
28.66774,81.4186,2014-05-10,1
27.39133,85.46963,2020-04-10,1
29.1463,80.54019,2019-05-21,1
27.95207,82.35075,2017-03-03,1
28.0908,81.71621,2021-04-01,1
27.65988,84.70759,2016-04-14,1
28.59327,81.47598,2016-04-13,1
27.0661,85.66401,2025-03-18,1
26.351,80.8087,2019-04-29 00:00:00,0
27.72516,82.50641,2023-04-12,1
26.6197,88.3291,2013-04-24 00:00:00,0
29.1267,80.5886,2013-04-08 00:00:00,0
28.7137,85.2651,2020-07-25 00:00:00,0
29.93379,82.43684,2014-06-15,1
28.24613,82.52549,2021-04-28,1
29.0168,82.4423,2019-01-27 00:00:00,0
27.2709,89.0255,2014-09-29 00:00:00,0
28.91989,80.65884,2014-05-04,1
27.55927,83.83659,2023-04-19,1
27.304,87.77737,2024-03-15,1
28.3667,83.1783,2016-11-13 00:00:00,0
26.8677,87.108,2020-06-16 00:00:00,0
29.8935,83.4689,2015-02-13 00:00:00,0
29.1813,89.2157,2024-05-11 00:00:00,0
29.4909,81.8978,2021-04-21 00:00:00,0
27.37604,84.79073,2014-04-09,1
27.92232,84.78033,2016-04-28,1
28.2512,85.0046,2017-02-13 00:00:00,0
28.86734,82.56752,2023-04-12,1
28.6582,85.7837,2017-05-23 00:00:00,0
29.2023,80.9833,2021-02-02 00:00:00,0
27.0621,85.4588,2024-07-04 00:00:00,0
29.1347,84.4302,2012-05-22 00:00:00,0
28.76308,80.42505,2025-05-14,1
27.972,86.1804,2023-10-20 00:00:00,0
28.4048,86.0459,2024-08-09 00:00:00,0
27.7376,80.1968,2023-05-20 00:00:00,0
27.7253,82.0006,2014-06-17 00:00:00,0
27.13472,86.65318,2025-05-11,1
27.72739,85.74601,2023-03-15,1
27.41415,83.24725,2018-04-22,1
29.3958,84.3059,2020-09-08 00:00:00,0
28.22776,81.79798,2016-04-09,1
26.3267,88.5968,2022-01-07 00:00:00,0
28.7606,81.39719,2021-04-18,1
28.6323,87.1089,2013-12-23 00:00:00,0
26.4961,87.919,2012-05-31 00:00:00,0
29.6097,89.2728,2017-04-21 00:00:00,0
27.77768,82.64219,2018-04-26,1
27.9335,84.92779,2016-03-11,1
26.834,80.3405,2014-09-01 00:00:00,0
29.19452,80.40536,2019-05-08,1
26.7327,82.2165,2017-02-03 00:00:00,0
28.96579,81.00887,2024-04-09,1
27.77817,82.60358,2021-04-19,1
27.3587,88.5498,2022-06-17 00:00:00,0
29.04038,81.76879,2024-05-01,1
27.2156,87.2702,2017-07-12 00:00:00,0
28.23666,84.74463,2020-12-25,1
28.79515,81.95326,2021-04-09,1
27.97007,81.91702,2024-04-17,1
28.00105,84.63459,2021-04-12,1
28.4611,86.4347,2016-04-22 00:00:00,0
28.11833,81.86301,2024-04-20,1
27.50277,84.42051,2023-04-11,1
27.32222,84.7862,2021-03-27,1
28.6331,85.228,2013-10-03 00:00:00,0
28.58566,81.29643,2021-04-13,1
28.9534,80.7392,2018-04-19 00:00:00,0
27.28224,85.38643,2017-04-13,1
28.4802,80.9484,2012-01-23 00:00:00,0
28.02045,82.15081,2016-04-08,1
26.8221,84.2174,2021-09-09 00:00:00,0
27.97047,82.58342,2021-04-27,1
28.33822,82.34544,2023-06-05,1
26.8946,86.68835,2021-04-10,1
29.40798,82.07437,2016-04-19,1
28.04994,82.88577,2014-05-24,1
29.3327,81.8215,2020-03-08 00:00:00,0
28.4229,81.6853,2017-06-30 00:00:00,0
26.94737,87.47392,2024-03-07,1
28.81283,82.6973,2016-12-13,1
