latitude,longitude,acq_date,fire_occurred
27.6669,88.4895,8/28/2022 0:00,0
28.8266,88.0983,12/13/2021 0:00,0
27.37663,84.65495,4/7/2024,1
29.80663,81.58254,6/13/2023,1
30.4572,81.4528,11/24/2013 0:00,0
26.4214,81.5505,2/16/2014 0:00,0
27.747,88.6327,9/3/2024 0:00,0
28.4854,88.3575,6/4/2014 0:00,0
26.7414,87.3146,4/1/2019 0:00,0
28.85334,80.23702,2/11/2018,1
29.9756,80.3209,3/11/2017 0:00,0
28.71278,80.28722,12/2/2015,1
30.363,83.8863,10/30/2023 0:00,0
27.89867,82.26132,5/30/2015,1
27.49825,84.39618,3/29/2018,1
29.7173,85.4777,9/23/2020 0:00,0
27.04261,86.34278,3/30/2014,1
28.1916,84.2037,3/25/2020 0:00,0
28.44398,81.60357,4/16/2024,1
26.8366,85.4083,11/12/2018 0:00,0
26.8657,87.3925,4/30/2024 0:00,0
29.03469,80.61582,4/23/2016,1
28.93972,80.7708,5/28/2018,1
28.0914,81.211,5/28/2016 0:00,0
30.1616,85.7323,2/18/2021 0:00,0
28.08581,84.33341,2/9/2021,1
29.305,83.0545,1/28/2013 0:00,0
26.4331,82.7362,4/10/2015 0:00,0
28.91987,81.06703,4/27/2024,1
27.85618,84.97449,3/18/2021,1
26.8141,80.5924,8/3/2021 0:00,0
28.4115,83.6283,10/25/2022 0:00,0
27.36835,84.92677,3/23/2019,1
28.64492,80.34843,1/31/2015,1
27.83805,83.16676,4/28/2017,1
27.20699,86.42504,6/1/2023,1
27.71843,86.11465,4/12/2016,1
29.5069,87.0459,7/25/2013 0:00,0
28.77931,80.20077,2/6/2023,1
27.35423,86.76342,3/19/2025,1
27.55098,84.9673,4/9/2016,1
29.1088,80.3805,8/26/2018 0:00,0
30.0115,83.6414,11/5/2017 0:00,0
27.31637,85.08678,4/17/2014,1
29.973,83.6605,1/11/2013 0:00,0
26.8232,86.75127,3/19/2016,1
29.07888,80.64256,4/26/2024,1
27.78219,82.36047,4/1/2024,1
28.97243,80.7426,4/29/2017,1
30.0899,83.6413,11/17/2020 0:00,0
28.82821,80.83128,4/15/2021,1
28.0073,85.0046,11/22/2020 0:00,0
28.563,80.1823,7/5/2013 0:00,0
27.63096,83.03101,4/23/2018,1
26.4602,87.2824,7/17/2014 0:00,0
27.2295,85.8611,8/6/2023 0:00,0
29.15356,80.5066,4/3/2021,1
29.9579,81.064,4/1/2023 0:00,0
27.33098,86.17915,4/18/2023,1
28.3905,83.8594,6/20/2014 0:00,0
28.94332,81.14064,3/8/2016,1
27.29595,85.58164,4/13/2021,1
28.4188,82.6914,12/27/2016 0:00,0
26.4996,87.2264,3/24/2018 0:00,0
30.4497,87.5777,3/26/2015 0:00,0
27.3468,86.24,10/27/2012 0:00,0
26.70333,86.77489,3/19/2019,1
29.139,86.0892,6/15/2017 0:00,0
28.1023,82.1428,1/31/2021 0:00,0
28.89908,80.5354,4/11/2021,1
28.4129,84.4956,8/15/2012 0:00,0
28.03214,82.05681,5/9/2019,1
26.7348,83.1082,4/28/2015 0:00,0
28.73891,81.44234,4/25/2023,1
27.53502,83.54112,5/5/2017,1
30.4587,82.0517,7/10/2012 0:00,0
28.3277,82.724,11/7/2014 0:00,0
28.32918,81.54655,4/15/2023,1
30.208,82.6268,6/11/2014 0:00,0
29.6142,89.3793,3/16/2013 0:00,0
27.4127,81.6094,7/13/2014 0:00,0
